trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.7452764914432887}",20,0,-50.81881188477775,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.7400777727467076}",25,0,-100.47391185646197,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7349153180090687}",20,0,-116.04727049990382,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7297888742690568}",25,0,-98.49189720658002,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7246981903299029}",20,0,-117.63616525303364,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7196430167470754}",25,0,-110.5265607692758,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7146231058160573}",20,0,-75.51856862322121,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7096382115602087}",20,0,-104.69069358885292,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,1,-51.772798625773504,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.699772497734611}",25,12,5.223734545016436,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.6948911947429106}",25,0,-115.76702758658229,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.690043941558789}",20,0,-100.87101165543464,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.6852305006658703}",20,0,-84.10759144903733,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.6804506362045877}",20,0,-87.0924927880551,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.675704113960626}",30,0,-122.17883027724993,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.6709907013534459}",20,10,-5.514016503228168,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.6663101674248864}",20,0,-102.25346220418673,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.6616622828278483}",25,0,-139.96281736622598,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
